fecha;provincia;porcentaje_residentes_2a_dosis
06/02/2022;TotalCyL;85,87458818
06/02/2022;Palencia;86,30257083
05/02/2022;Salamanca;
05/02/2022;Segovia;
05/02/2022;Zamora;
05/02/2022;Burgos;
05/02/2022;Soria;
05/02/2022;Valladolid;
05/02/2022;Ávila;
05/02/2022;León;
05/02/2022;Palencia;
05/02/2022;TotalCyL;
04/02/2022;Ávila;
04/02/2022;León;
04/02/2022;Palencia;
04/02/2022;Salamanca;
04/02/2022;Segovia;
04/02/2022;Zamora;
04/02/2022;Valladolid;
04/02/2022;TotalCyL;
04/02/2022;Burgos;
04/02/2022;Soria;
03/02/2022;León;84,95620723
03/02/2022;Salamanca;88,70471316
03/02/2022;Segovia;82,37459106
03/02/2022;Zamora;87,08226866
03/02/2022;Ávila;85,84117592
03/02/2022;Burgos;85,00551797
03/02/2022;Palencia;86,27355753
03/02/2022;Soria;85,67770074
03/02/2022;Valladolid;85,90208653
03/02/2022;TotalCyL;85,84190637
02/02/2022;León;84,91555665
02/02/2022;Salamanca;88,67420926
02/02/2022;Soria;85,64191456
02/02/2022;Zamora;87,04686145
02/02/2022;Palencia;86,25589727
02/02/2022;Ávila;85,81725473
02/02/2022;Burgos;84,98519604
02/02/2022;Segovia;82,33694241
02/02/2022;Valladolid;85,8772354
02/02/2022;TotalCyL;85,81249275
01/02/2022;Valladolid;85,84621964
01/02/2022;Zamora;87,02620724
01/02/2022;Ávila;85,79270404
01/02/2022;Palencia;86,24454424
01/02/2022;Soria;85,62290315
01/02/2022;TotalCyL;85,78475511
01/02/2022;Burgos;84,96007587
01/02/2022;León;84,8885295
01/02/2022;Salamanca;88,6400449
01/02/2022;Segovia;82,29280262
31/01/2022;Palencia;86,2249918
31/01/2022;Soria;85,59941847
31/01/2022;Zamora;87,00319255
31/01/2022;Ávila;85,76689434
31/01/2022;Burgos;84,9355202
31/01/2022;León;84,85556957
31/01/2022;Salamanca;88,61045612
31/01/2022;Segovia;82,27008361
31/01/2022;Valladolid;85,81192893
31/01/2022;TotalCyL;85,75630518
30/01/2022;Salamanca;88,57568169
30/01/2022;Segovia;82,24736459
30/01/2022;León;84,84194613
30/01/2022;Soria;85,58935361
30/01/2022;TotalCyL;85,73455921
30/01/2022;Ávila;85,75178622
30/01/2022;Burgos;84,91068228
30/01/2022;Palencia;86,2010243
30/01/2022;Valladolid;85,78804102
30/01/2022;Zamora;86,98843955
29/01/2022;Burgos;
29/01/2022;León;
29/01/2022;Segovia;
29/01/2022;TotalCyL;
29/01/2022;Salamanca;
29/01/2022;Soria;
29/01/2022;Valladolid;
29/01/2022;Ávila;
29/01/2022;Palencia;
29/01/2022;Zamora;
28/01/2022;Ávila;
28/01/2022;Salamanca;
28/01/2022;Segovia;
28/01/2022;Soria;
28/01/2022;TotalCyL;
28/01/2022;Valladolid;
28/01/2022;Zamora;
28/01/2022;Burgos;
28/01/2022;León;
28/01/2022;Palencia;
27/01/2022;Burgos;84,87483665
27/01/2022;León;84,79536276
27/01/2022;Zamora;86,9695557
27/01/2022;Ávila;85,69513078
27/01/2022;Soria;85,54909416
27/01/2022;Palencia;86,18840982
27/01/2022;Salamanca;88,52901073
27/01/2022;Segovia;82,21231241
27/01/2022;Valladolid;85,75625468
27/01/2022;TotalCyL;85,69731033
26/01/2022;Soria;85,52225453
26/01/2022;Ávila;85,64728841
26/01/2022;Burgos;84,84378925
26/01/2022;León;84,75405297
26/01/2022;Segovia;82,1675235
26/01/2022;Zamora;86,95244221
26/01/2022;TotalCyL;85,66249164
26/01/2022;Palencia;86,18399475
26/01/2022;Salamanca;88,48264481
26/01/2022;Valladolid;85,72234926
25/01/2022;Palencia;86,17011883
25/01/2022;TotalCyL;85,62947463
25/01/2022;León;84,71625892
25/01/2022;Salamanca;88,43963432
25/01/2022;Segovia;82,1097523
25/01/2022;Soria;85,49876985
25/01/2022;Valladolid;85,68767326
25/01/2022;Zamora;86,94063981
25/01/2022;Ávila;85,61959019
25/01/2022;Burgos;84,81584659
24/01/2022;Burgos;84,78338795
24/01/2022;Segovia;82,06236693
24/01/2022;Valladolid;85,66571179
24/01/2022;Zamora;86,91762512
24/01/2022;Ávila;85,58307891
24/01/2022;León;84,68967124
24/01/2022;Palencia;86,11839948
24/01/2022;Salamanca;88,39753895
24/01/2022;TotalCyL;85,59729562
24/01/2022;Soria;85,46745694
23/01/2022;León;84,67099394
23/01/2022;Ávila;85,56797079
23/01/2022;Salamanca;88,37161064
23/01/2022;Segovia;82,03964792
23/01/2022;Valladolid;85,63469604
23/01/2022;Zamora;86,89815115
23/01/2022;Burgos;84,74584882
23/01/2022;Palencia;86,10073921
23/01/2022;Soria;85,44844554
23/01/2022;TotalCyL;85,57211387
22/01/2022;León;
22/01/2022;Soria;
22/01/2022;Ávila;
22/01/2022;Burgos;
22/01/2022;Salamanca;
22/01/2022;Zamora;
22/01/2022;TotalCyL;
22/01/2022;Palencia;
22/01/2022;Segovia;
22/01/2022;Valladolid;
21/01/2022;Salamanca;
21/01/2022;Soria;
21/01/2022;Ávila;
21/01/2022;León;
21/01/2022;Valladolid;
21/01/2022;TotalCyL;
21/01/2022;Burgos;
21/01/2022;Palencia;
21/01/2022;Segovia;
21/01/2022;Zamora;
20/01/2022;Salamanca;88,32676991
20/01/2022;Segovia;81,99161344
20/01/2022;Burgos;84,68234278
20/01/2022;León;84,62616843
20/01/2022;Palencia;85,94747332
20/01/2022;Soria;85,41601431
20/01/2022;Valladolid;85,59693772
20/01/2022;Ávila;85,44899437
20/01/2022;Zamora;86,85448226
20/01/2022;TotalCyL;85,51425031
19/01/2022;Segovia;81,9189126
19/01/2022;Valladolid;85,56341759
19/01/2022;Zamora;86,7594729
19/01/2022;Ávila;85,37408328
19/01/2022;Burgos;84,64395691
19/01/2022;León;84,57211414
19/01/2022;Palencia;85,90584555
19/01/2022;Salamanca;88,29870633
