Fecha;Provincia;porcentaje_total
07/02/2022;Segovia;11,28946174
07/02/2022;Ávila;10,65521286
07/02/2022;Salamanca;13,22370049
07/02/2022;Soria;9,651643653
07/02/2022;Valladolid;12,93385133
07/02/2022;Castilla y León;11,90634526
06/02/2022;Ávila;10,62639586
06/02/2022;León;10,95887885
06/02/2022;Soria;9,62361376
06/02/2022;Valladolid;12,90836459
06/02/2022;Palencia;11,69102296
06/02/2022;Salamanca;13,18038072
06/02/2022;Segovia;11,27993552
06/02/2022;Castilla y León;11,88149942
06/02/2022;Burgos;12,62144466
06/02/2022;Zamora;10,8036345
05/02/2022;Ávila;10,60920178
05/02/2022;Segovia;11,26835916
05/02/2022;Burgos;12,60988472
05/02/2022;Palencia;11,68024101
05/02/2022;Soria;9,61169787
05/02/2022;Zamora;10,78906955
05/02/2022;León;10,94662963
05/02/2022;Salamanca;13,15517951
05/02/2022;Valladolid;12,8905769
05/02/2022;Castilla y León;11,86630823
04/02/2022;Ávila;10,59092807
04/02/2022;Salamanca;13,13284379
04/02/2022;Segovia;11,25646081
04/02/2022;Soria;9,599362231
04/02/2022;Valladolid;12,8740236
04/02/2022;Burgos;12,60260725
04/02/2022;León;10,93315596
04/02/2022;Zamora;10,78249891
04/02/2022;Castilla y León;11,85248319
04/02/2022;Palencia;11,6674623
03/02/2022;Ávila;10,56032213
03/02/2022;León;10,91192883
03/02/2022;Salamanca;13,09302898
03/02/2022;Segovia;11,23872617
03/02/2022;Castilla y León;11,82651124
03/02/2022;Burgos;12,58591596
03/02/2022;Palencia;11,64281828
03/02/2022;Soria;9,569604782
03/02/2022;Valladolid;12,84529697
03/02/2022;Zamora;10,75092001
02/02/2022;Ávila;10,52190456
02/02/2022;Burgos;12,55525335
02/02/2022;Segovia;11,21056458
02/02/2022;Valladolid;12,81058203
02/02/2022;Zamora;10,7234066
02/02/2022;León;10,88645898
02/02/2022;Palencia;11,61094841
02/02/2022;Salamanca;13,04766458
02/02/2022;Soria;9,544162899
02/02/2022;Castilla y León;11,79438868
01/02/2022;Segovia;11,1848024
01/02/2022;Burgos;12,52089939
01/02/2022;León;10,85006889
01/02/2022;Palencia;11,58673741
01/02/2022;Salamanca;12,99336102
01/02/2022;Zamora;10,68453715
01/02/2022;Castilla y León;11,75726213
01/02/2022;Ávila;10,49205779
01/02/2022;Soria;9,501840665
01/02/2022;Valladolid;12,7732636
31/01/2022;Ávila;10,46122094
31/01/2022;León;10,82219496
31/01/2022;Palencia;11,55623606
31/01/2022;Segovia;11,15667789
31/01/2022;Soria;9,470849826
31/01/2022;Zamora;10,64509084
31/01/2022;Burgos;12,49075696
31/01/2022;Salamanca;12,92966113
31/01/2022;Valladolid;12,73464291
31/01/2022;Castilla y León;11,72097298
30/01/2022;Ávila;10,42886441
30/01/2022;León;10,78169311
30/01/2022;Palencia;11,52450669
30/01/2022;Soria;9,43308238
30/01/2022;Burgos;12,45225528
30/01/2022;Salamanca;12,84883258
30/01/2022;Segovia;11,13482708
30/01/2022;Valladolid;12,69005092
30/01/2022;Zamora;10,61247931
30/01/2022;Castilla y León;11,67851658
29/01/2022;Salamanca;12,8165757
29/01/2022;Soria;9,409222415
29/01/2022;Ávila;10,41037479
29/01/2022;Burgos;12,42606263
29/01/2022;León;10,75979064
29/01/2022;Palencia;11,50518369
29/01/2022;Segovia;11,11437037
29/01/2022;Valladolid;12,66090855
29/01/2022;Zamora;10,59360928
29/01/2022;Castilla y León;11,6536811
28/01/2022;Ávila;10,38534078
28/01/2022;Palencia;11,48310204
28/01/2022;Salamanca;12,7862281
28/01/2022;Segovia;11,09219522
28/01/2022;Burgos;12,40375801
28/01/2022;León;10,73780484
28/01/2022;Soria;9,390877026
28/01/2022;Valladolid;12,62756626
28/01/2022;Zamora;10,56611479
28/01/2022;Castilla y León;11,62793932
27/01/2022;Ávila;10,35744329
27/01/2022;Burgos;12,36906046
27/01/2022;León;10,69559665
27/01/2022;Salamanca;12,72673984
27/01/2022;Segovia;11,0671446
27/01/2022;Palencia;11,45488228
27/01/2022;Valladolid;12,57222102
27/01/2022;Soria;9,341432022
27/01/2022;Zamora;10,50824283
27/01/2022;Castilla y León;11,58391031
26/01/2022;Palencia;11,42376785
26/01/2022;Segovia;11,02819058
26/01/2022;Ávila;10,3104679
26/01/2022;Soria;9,289754621
26/01/2022;Valladolid;12,50270581
26/01/2022;Zamora;10,45879397
26/01/2022;Castilla y León;11,53016856
26/01/2022;Burgos;12,31773561
26/01/2022;León;10,65175189
26/01/2022;Salamanca;12,65416311
25/01/2022;Ávila;10,26593255
25/01/2022;León;10,59339392
25/01/2022;Palencia;11,37066991
25/01/2022;Salamanca;12,57742117
25/01/2022;Soria;9,234444791
25/01/2022;Castilla y León;11,46390203
25/01/2022;Burgos;12,24471404
25/01/2022;Segovia;10,98192405
25/01/2022;Valladolid;12,42939374
25/01/2022;Zamora;10,360002
24/01/2022;Ávila;10,22279783
24/01/2022;Burgos;12,1884222
24/01/2022;Salamanca;12,50387709
24/01/2022;Castilla y León;11,40539121
24/01/2022;Segovia;10,93770816
24/01/2022;Zamora;10,31708843
24/01/2022;León;10,53877856
24/01/2022;Palencia;11,31930563
24/01/2022;Soria;9,188920551
24/01/2022;Valladolid;12,35523502
23/01/2022;Burgos;12,1111326
23/01/2022;León;10,46485412
23/01/2022;Palencia;11,25348218
23/01/2022;Segovia;10,88737062
23/01/2022;Soria;9,116720892
23/01/2022;Zamora;10,25397969
23/01/2022;Ávila;10,15998112
23/01/2022;Salamanca;12,42246235
23/01/2022;Valladolid;12,26913966
23/01/2022;Castilla y León;11,33127238
22/01/2022;Castilla y León;11,28610539
22/01/2022;Ávila;10,12843592
22/01/2022;León;10,42678619
22/01/2022;Palencia;11,21752092
22/01/2022;Segovia;10,85482387
22/01/2022;Soria;9,076079076
22/01/2022;Valladolid;12,2062903
22/01/2022;Burgos;12,06052549
22/01/2022;Salamanca;12,38296383
22/01/2022;Zamora;10,20913751
21/01/2022;Ávila;10,09397278
21/01/2022;León;10,38264095
21/01/2022;Palencia;11,17348796
21/01/2022;Burgos;12,01506243
21/01/2022;Salamanca;12,34513067
21/01/2022;Segovia;10,81789938
21/01/2022;Soria;9,032990015
21/01/2022;Valladolid;12,14698813
21/01/2022;Zamora;10,17105388
21/01/2022;Castilla y León;11,2409631
20/01/2022;Ávila;10,01484888
20/01/2022;León;10,29570992
20/01/2022;Zamora;10,09175188
20/01/2022;Burgos;11,90948384
20/01/2022;Salamanca;12,25085575
20/01/2022;Segovia;10,75907011
20/01/2022;Castilla y León;11,14716934
20/01/2022;Palencia;11,09128754
20/01/2022;Soria;8,95374882
20/01/2022;Valladolid;12,02867454
19/01/2022;León;10,23276874
19/01/2022;Palencia;11,02337698
19/01/2022;Salamanca;12,18700955
19/01/2022;Zamora;10,01939774
19/01/2022;Ávila;9,969647884
19/01/2022;Burgos;11,8263249
19/01/2022;Segovia;10,71117258
19/01/2022;Soria;8,888247865
19/01/2022;Valladolid;11,95287899
19/01/2022;Castilla y León;11,07942061
18/01/2022;Ávila;9,902901578
18/01/2022;Burgos;11,69867442
18/01/2022;León;10,14763176
18/01/2022;Palencia;10,94503464
18/01/2022;Salamanca;12,09620302
18/01/2022;Segovia;10,64943161
18/01/2022;Valladolid;11,84771445
18/01/2022;Castilla y León;10,98562923
18/01/2022;Soria;8,821695634
18/01/2022;Zamora;9,912801532
17/01/2022;Ávila;9,820697014
17/01/2022;Soria;8,763082662
17/01/2022;Valladolid;11,7559778
17/01/2022;Castilla y León;10,89384272
17/01/2022;Burgos;11,58220742
17/01/2022;León;10,05422276
17/01/2022;Palencia;10,85609019
17/01/2022;Salamanca;12,00154031
17/01/2022;Segovia;10,58698788
17/01/2022;Zamora;9,817594313
16/01/2022;Ávila;9,733151091
16/01/2022;León;9,947970481
16/01/2022;Palencia;10,7703866
16/01/2022;Salamanca;11,8730865
16/01/2022;Segovia;10,51858977
16/01/2022;Castilla y León;10,78645456
16/01/2022;Zamora;9,713196346
16/01/2022;Burgos;11,4380102
16/01/2022;Soria;8,688482899
16/01/2022;Valladolid;11,65025287
15/01/2022;Burgos;11,38149553
15/01/2022;León;9,890256805
15/01/2022;Salamanca;11,82070586
15/01/2022;Soria;8,644015539
15/01/2022;Valladolid;11,59014515
15/01/2022;Ávila;9,695421083
15/01/2022;Palencia;10,72429523
15/01/2022;Segovia;10,46917431
15/01/2022;Zamora;9,660737459
15/01/2022;Castilla y León;10,73290889
14/01/2022;Ávila;9,64721436
14/01/2022;León;9,834152384
14/01/2022;Salamanca;11,76530396
14/01/2022;Valladolid;11,52677578
14/01/2022;Castilla y León;10,67290726
14/01/2022;Burgos;11,31287993
14/01/2022;Segovia;10,41444619
14/01/2022;Zamora;9,586701434
14/01/2022;Palencia;10,66358447
14/01/2022;Soria;8,593550408
13/01/2022;León;9,756264636
13/01/2022;Burgos;11,20604059
13/01/2022;Palencia;10,59007154
13/01/2022;Salamanca;11,6803422
13/01/2022;Segovia;10,34950227
13/01/2022;Zamora;9,498906532
13/01/2022;Ávila;9,574856235
13/01/2022;Soria;8,522811895
13/01/2022;Valladolid;11,45192418
13/01/2022;Castilla y León;10,59203285
12/01/2022;León;9,629063884
12/01/2022;Salamanca;11,56343215
12/01/2022;Segovia;10,23361134
12/01/2022;Valladolid;11,33147334
12/01/2022;Castilla y León;10,47174668
12/01/2022;Ávila;9,492853775
12/01/2022;Palencia;10,47778732
12/01/2022;Zamora;9,384999043
12/01/2022;Burgos;11,05644037
12/01/2022;Soria;8,435422207
11/01/2022;Ávila;9,36790329
11/01/2022;León;9,523938135
11/01/2022;Palencia;10,37923026
11/01/2022;Segovia;10,12243929
11/01/2022;Valladolid;11,2123779
11/01/2022;Zamora;9,276497635
11/01/2022;Burgos;10,87124101
11/01/2022;Salamanca;11,43786874
11/01/2022;Soria;8,322678767
11/01/2022;Castilla y León;10,34719934
10/01/2022;León;9,387929181
10/01/2022;Palencia;10,24936653
10/01/2022;Soria;8,216813323
10/01/2022;Castilla y León;10,19910581
10/01/2022;Burgos;10,66467766
10/01/2022;Salamanca;11,26169584
10/01/2022;Segovia;10,00434811
10/01/2022;Ávila;9,242115484
10/01/2022;Valladolid;11,07489014
10/01/2022;Zamora;9,140736626
09/01/2022;Ávila;9,101766923
09/01/2022;Burgos;10,4598094
09/01/2022;León;9,24496136
09/01/2022;Salamanca;11,08501696
09/01/2022;Valladolid;10,92529922
09/01/2022;Castilla y León;10,04705552
09/01/2022;Segovia;9,872337507
09/01/2022;Soria;8,103966498
09/01/2022;Palencia;10,13162213
09/01/2022;Zamora;9,016639311
08/01/2022;Ávila;9,012179703
08/01/2022;Soria;8,026413257
08/01/2022;Zamora;8,963407634
08/01/2022;Palencia;10,06813
08/01/2022;Valladolid;10,86248581
08/01/2022;Castilla y León;9,981881797
08/01/2022;Burgos;10,4142635
08/01/2022;León;9,167974546
08/01/2022;Salamanca;11,02419522
08/01/2022;Segovia;9,795844708
07/01/2022;Palencia;10,00441347
07/01/2022;Salamanca;10,9601404
07/01/2022;Soria;7,973438853
07/01/2022;Zamora;8,91225931
07/01/2022;Ávila;8,930536923
07/01/2022;Valladolid;10,8086104
07/01/2022;Castilla y León;9,922217702
07/01/2022;Burgos;10,35913772
07/01/2022;León;9,113407874
